track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,popular,loudness,playlist_genre,track_id,duration_ms,released_date
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,127567540,100,F♯/G♭,0,0.49,0.17,0.35,0.71,0.09,0.11,0.03,1,,,,,3/17/23
Snooze,SZA,1,2022,12,9,399686758,143,F,1,0.56,0.39,0.55,0.14,0,0.11,0.13,1,,,,,12/9/22
Take Two,BTS,1,2023,6,9,118482347,93,G,1,0.62,0.57,0.59,0.03,0,0.38,0.03,1,,,,,6/9/23
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,286400165,88,G,0,0.68,0.17,0.71,0.15,0,0.11,0.05,1,,,,,12/2/22
Chemical,Post Malone,1,2023,4,14,172825906,170,D,1,0.5,0.37,0.9,0,0,0.12,0.05,1,,,,,4/14/23
New Jeans,NewJeans,1,2023,7,7,29562220,134,E,0,0.81,0.53,0.72,0.51,0,0.12,0.05,1,,,,,7/7/23
Primera Cita,Carin Leon,1,2022,4,20,77309611,158,A♯/B♭,1,0.54,0.5,0.4,0.61,0,0.1,0.06,1,,,,,4/20/22
Bones,Imagine Dragons,1,2021,3,11,838079900,114,F,0,0.77,0.65,0.72,0.02,0,0.07,0.05,1,,,,,3/11/21
Tak Segampang Itu,Anggi Marito,1,2022,12,2,179659294,130,F,1,0.51,0.18,0.44,0.76,0,0.11,0.03,1,,,,,12/2/22
LAGUNAS,"Jasiel NuÔøΩÔøΩez, Peso P",2,2023,6,22,39058561,116,B,1,0.77,0.79,0.62,0.33,0.01,0.15,0.03,1,,,,,6/22/23
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,36912123,121,G,1,0.65,0.49,0.78,0,0,0.17,0.04,1,,,,,7/7/23
Tattoo,Loreen,1,2023,2,25,201660859,150,D♯/E♭,0,0.55,0.3,0.78,0.24,0,0.12,0.08,1,,,,,2/25/23
Rara Vez,"Taiu, Milo j",2,2023,2,8,248088961,120,F,0,0.84,0.96,0.71,0.18,0,0.34,0.17,1,,,,,2/8/23
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, BeÔøΩÔ",3,2023,5,12,90839753,127,B,0,0.82,0.89,0.85,0.04,0,0.23,0.06,1,,,,,5/12/23
august,Taylor Swift,1,2020,7,24,607123776,90,F,1,0.51,0.42,0.61,0.53,0,0.09,0.03,1,,,,,7/24/20
LUNA,"Junior H, Peso Pluma",2,2023,6,22,55842345,128,A,0,0.75,0.79,0.63,0.33,0,0.15,0.04,1,,,,,6/22/23
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,211050784,143,A,1,0.64,0.31,0.87,0.04,0.04,0.08,0.04,1,,,,,3/10/23
Nonsense,Sabrina Carpenter,1,2022,7,15,342897938,139,G♯/A♭,1,0.74,0.68,0.68,0.03,0,0.26,0.04,1,,,,,7/15/22
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,2762,162,A♯/B♭,1,0.49,0.78,0.64,0.19,0,0.11,0.04,1,,,,,12/9/22
Por las Noches,Peso Pluma,1,2021,6,11,330346424,92,,1,0.81,0.39,0.6,0.31,0,0.07,0.03,1,,,,,6/11/21
Feliz CumpleaÔøΩÔøΩos Fe,Feid,1,2022,8,19,601863821,95,F,1,0.87,0.57,0.55,0.1,0,0.29,0.07,1,,,,,8/19/22
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,66902503,128,B,1,0.78,0.59,0.65,0.1,0,0.26,0.05,1,,,,,6/21/23
Queencard,(G)I-DLE,1,2023,5,15,96273746,130,E,0,0.82,0.69,0.83,0.03,0,0.27,0.05,1,,,,,5/15/23
OMG,NewJeans,1,2023,1,2,430977451,127,A,0,0.8,0.74,0.77,0.36,0,0.11,0.04,1,,,,,1/2/23
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,721975598,122,D,0,0.78,0.5,0.63,0.27,0,0.09,0.05,1,,,,,1/11/23
